page,logical_name,alt_text,attribution,lqip_file,webp_1600,jpg_1600,webp_1024,jpg_1024,webp_640,jpg_640
1,hero-us-led-world,Hero us led world,Original attribution preserved from document,hero-us-led-world-lqip.txt,hero-us-led-world-1600.webp,hero-us-led-world-1600.jpg,hero-us-led-world-1024.webp,hero-us-led-world-1024.jpg,hero-us-led-world-640.webp,hero-us-led-world-640.jpg
2,overview-has-us-been-good,Overview has us been good,Original attribution preserved from document,overview-has-us-been-good-lqip.txt,overview-has-us-been-good-1600.webp,overview-has-us-been-good-1600.jpg,overview-has-us-been-good-1024.webp,overview-has-us-been-good-1024.jpg,overview-has-us-been-good-640.webp,overview-has-us-been-good-640.jpg
3,conflict-deaths-per-capita,Conflict deaths per capita,Original attribution preserved from document,conflict-deaths-per-capita-lqip.txt,conflict-deaths-per-capita-1600.webp,conflict-deaths-per-capita-1600.jpg,conflict-deaths-per-capita-1024.webp,conflict-deaths-per-capita-1024.jpg,conflict-deaths-per-capita-640.webp,conflict-deaths-per-capita-640.jpg
4,life-expectancy-trends,Life expectancy trends,Original attribution preserved from document,life-expectancy-trends-lqip.txt,life-expectancy-trends-1600.webp,life-expectancy-trends-1600.jpg,life-expectancy-trends-1024.webp,life-expectancy-trends-1024.jpg,life-expectancy-trends-640.webp,life-expectancy-trends-640.jpg
5,child-mortality,Child mortality,Original attribution preserved from document,child-mortality-lqip.txt,child-mortality-1600.webp,child-mortality-1600.jpg,child-mortality-1024.webp,child-mortality-1024.jpg,child-mortality-640.webp,child-mortality-640.jpg
6,extreme-poverty-share,Extreme poverty share,Original attribution preserved from document,extreme-poverty-share-lqip.txt,extreme-poverty-share-1600.webp,extreme-poverty-share-1600.jpg,extreme-poverty-share-1024.webp,extreme-poverty-share-1024.jpg,extreme-poverty-share-640.webp,extreme-poverty-share-640.jpg
7,literacy-trends,Literacy trends,Original attribution preserved from document,literacy-trends-lqip.txt,literacy-trends-1600.webp,literacy-trends-1600.jpg,literacy-trends-1024.webp,literacy-trends-1024.jpg,literacy-trends-640.webp,literacy-trends-640.jpg
8,democracy-population,Democracy population,Original attribution preserved from document,democracy-population-lqip.txt,democracy-population-1600.webp,democracy-population-1600.jpg,democracy-population-1024.webp,democracy-population-1024.jpg,democracy-population-640.webp,democracy-population-640.jpg
9,universal-voting-rights,Universal voting rights,Original attribution preserved from document,universal-voting-rights-lqip.txt,universal-voting-rights-1600.webp,universal-voting-rights-1600.jpg,universal-voting-rights-1024.webp,universal-voting-rights-1024.jpg,universal-voting-rights-640.webp,universal-voting-rights-640.jpg
10,renewable-electricity,Renewable electricity,Original attribution preserved from document,renewable-electricity-lqip.txt,renewable-electricity-1600.webp,renewable-electricity-1600.jpg,renewable-electricity-1024.webp,renewable-electricity-1024.jpg,renewable-electricity-640.webp,renewable-electricity-640.jpg
11,us-contributions-overview,Us contributions overview,Original attribution preserved from document,us-contributions-overview-lqip.txt,us-contributions-overview-1600.webp,us-contributions-overview-1600.jpg,us-contributions-overview-1024.webp,us-contributions-overview-1024.jpg,us-contributions-overview-640.webp,us-contributions-overview-640.jpg
12,famine-deaths,Famine deaths,Original attribution preserved from document,famine-deaths-lqip.txt,famine-deaths-1600.webp,famine-deaths-1600.jpg,famine-deaths-1024.webp,famine-deaths-1024.jpg,famine-deaths-640.webp,famine-deaths-640.jpg
13,wheat-yields-1800-2004,Wheat yields 1800 2004,Original attribution preserved from document,wheat-yields-1800-2004-lqip.txt,wheat-yields-1800-2004-1600.webp,wheat-yields-1800-2004-1600.jpg,wheat-yields-1800-2004-1024.webp,wheat-yields-1800-2004-1024.jpg,wheat-yields-1800-2004-640.webp,wheat-yields-1800-2004-640.jpg
14,green-revolution-diffusion,Green revolution diffusion,Original attribution preserved from document,green-revolution-diffusion-lqip.txt,green-revolution-diffusion-1600.webp,green-revolution-diffusion-1600.jpg,green-revolution-diffusion-1024.webp,green-revolution-diffusion-1024.jpg,green-revolution-diffusion-640.webp,green-revolution-diffusion-640.jpg
15,polio-cases-trends,Polio cases trends,Original attribution preserved from document,polio-cases-trends-lqip.txt,polio-cases-trends-1600.webp,polio-cases-trends-1600.jpg,polio-cases-trends-1024.webp,polio-cases-trends-1024.jpg,polio-cases-trends-640.webp,polio-cases-trends-640.jpg
16,smallpox-cases,Smallpox cases,Original attribution preserved from document,smallpox-cases-lqip.txt,smallpox-cases-1600.webp,smallpox-cases-1600.jpg,smallpox-cases-1024.webp,smallpox-cases-1024.jpg,smallpox-cases-640.webp,smallpox-cases-640.jpg
17,hiv-aids-deaths-share,Hiv aids deaths share,Original attribution preserved from document,hiv-aids-deaths-share-lqip.txt,hiv-aids-deaths-share-1600.webp,hiv-aids-deaths-share-1600.jpg,hiv-aids-deaths-share-1024.webp,hiv-aids-deaths-share-1024.jpg,hiv-aids-deaths-share-640.webp,hiv-aids-deaths-share-640.jpg
18,nuclear-warhead-stockpiles,Nuclear warhead stockpiles,Original attribution preserved from document,nuclear-warhead-stockpiles-lqip.txt,nuclear-warhead-stockpiles-1600.webp,nuclear-warhead-stockpiles-1600.jpg,nuclear-warhead-stockpiles-1024.webp,nuclear-warhead-stockpiles-1024.jpg,nuclear-warhead-stockpiles-640.webp,nuclear-warhead-stockpiles-640.jpg
19,ozone-dobson-trends,Ozone dobson trends,Original attribution preserved from document,ozone-dobson-trends-lqip.txt,ozone-dobson-trends-1600.webp,ozone-dobson-trends-1600.jpg,ozone-dobson-trends-1024.webp,ozone-dobson-trends-1024.jpg,ozone-dobson-trends-640.webp,ozone-dobson-trends-640.jpg
20,montreal-protocol,Montreal protocol,Original attribution preserved from document,montreal-protocol-lqip.txt,montreal-protocol-1600.webp,montreal-protocol-1600.jpg,montreal-protocol-1024.webp,montreal-protocol-1024.jpg,montreal-protocol-640.webp,montreal-protocol-640.jpg
21,foreign-aid-donors,Foreign aid donors,Original attribution preserved from document,foreign-aid-donors-lqip.txt,foreign-aid-donors-1600.webp,foreign-aid-donors-1600.jpg,foreign-aid-donors-1024.webp,foreign-aid-donors-1024.jpg,foreign-aid-donors-640.webp,foreign-aid-donors-640.jpg
22,migration-destination-countries,Migration destination countries,Original attribution preserved from document,migration-destination-countries-lqip.txt,migration-destination-countries-1600.webp,migration-destination-countries-1600.jpg,migration-destination-countries-1024.webp,migration-destination-countries-1024.jpg,migration-destination-countries-640.webp,migration-destination-countries-640.jpg
23,successful-interventions-i,Successful interventions i,Original attribution preserved from document,successful-interventions-i-lqip.txt,successful-interventions-i-1600.webp,successful-interventions-i-1600.jpg,successful-interventions-i-1024.webp,successful-interventions-i-1024.jpg,successful-interventions-i-640.webp,successful-interventions-i-640.jpg
